PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,LogGI50_M,LogGI50_u,LogGI50_V,IndnGI50,StddevGI50,LogTGI_M,LogTGI_u,LogTGI_V,IndnTGI,StddevTGI
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT
RESULT_DESCR,,,,,,,,"Log of the GI50 result, unit: M.","Log of the GI50 result, unit: ug/mL.","Log of the GI50 result, unit: Volumetric.",Number of tests averaged for the GI50 value for this NSC and cell line.,Standard Deviation of the Log10 of the GI50 result averaged across all tests for this NSC and cell line.,"Log of the TGI result, unit: M.","Log of the TGI result, unit: ug/mL.","Log of the TGI result, unit: Volumetric.",Number of tests averaged for the TGI value for this NSC and cell line.,Standard Deviation of the Log10 of the TGI result averaged across all tests for this NSC and cell line.
1,66954,11122,CC1=CC(=O)C=CC1=O,Inactive,10,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.5753,,,1,0,-4,,,1,0
2,66954,11122,CC1=CC(=O)C=CC1=O,Inactive,11,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=1&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.6886,,,2,0.03,-4.2218,,,2,0.0553
3,66970,219123,CCCCCCCCCCCCCCCC1=C(C=CC(=C1)O)N,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=17&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.0169,,,3,0.0216,-4,,,3,0
4,66977,219128,C1=CC=C(C=C1)C(CCI)(C2=CC=CC=C2)C3=CC=CC=C3,Inactive,15,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=26&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.8729,,,1,0,-4.5084,,,1,0
5,538184,92844,CN(C)CCC(=O)C1=CC=CC=C1.Cl,Inactive,3,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=89&systemname=NCI+Cancer&idn1=1&idn2=1,,-4.2086,,,3,0.3613,-4.1307,,,3,0.2263
6,538185,24180730,CC1=CC(=C(C(=C1C)C)C[N+](C)(C)C)C.[Cl-],Active,40,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=112&systemname=NCI+Cancer&idn1=1&idn2=1,,-6.4032,,,2,0.0572,-4.9102,,,2,0.0106
7,67107,1018,C1=CC=NC(=C1)C(=O)O,Inactive,0,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=171&systemname=NCI+Cancer&idn1=1&idn2=1,,-4,,,1,0,-4,,,1,0
8,67121,6197,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,Active,55,http://dtp.nci.nih.gov/dtpstandard/servlet/doseresponse?searchtype=NSC&searchlist=185&systemname=NCI+Cancer&idn1=1&idn2=1,,-7.2874,,,2,0.3079,-6.0266,,,2,0.0992
